<button id='ItelA60s' type='button' value='Itel A60s' onclick='ItelA60s()'>Itel A60s</button>!4/128 GB! Rs. 24,999  PKR!$. 85
<button id='ItelA49Play' type='button' value='Itel A49 Play' onclick='ItelA49Play()'>Itel A49 Play</button>!2/32 GB! Rs. 16,999  PKR!$. 58
<button id='ItelP40' type='button' value='Itel P40' onclick='ItelP40()'>Itel P40</button>!4/64 GB8/128 GB! Rs. 26,999  PKR!$. 92
<button id='ItelS23' type='button' value='Itel S23' onclick='ItelS23()'>Itel S23</button>!8/128 GB8/256 GB! Rs. 30,999  PKR!$. 106
<button id='ItelP17Pro' type='button' value='Itel P17 Pro' onclick='ItelP17Pro()'>Itel P17 Pro</button>!2/32 GB! Rs. 23,999  PKR!$. 82
<button id='ItelVision3Plus' type='button' value='Itel Vision 3 Plus' onclick='ItelVision3Plus()'>Itel Vision 3 Plus</button>!4/64 GB! Rs. 25,999  PKR!$. 89
<button id='ItelA49' type='button' value='Itel A49' onclick='ItelA49()'>Itel A49</button>!2/32 GB! Rs. 17,999  PKR!$. 61
<button id='ItelA27' type='button' value='Itel A27' onclick='ItelA27()'>Itel A27</button>!2/32 GB! Rs. 20,999  PKR!$. 71
<button id='ItelVision2s' type='button' value='Itel Vision 2s' onclick='ItelVision2s()'>Itel Vision 2s</button>!2/32 GB! Rs. 14,999  PKR!$. 51
<button id='ItelVision3' type='button' value='Itel Vision 3' onclick='ItelVision3()'>Itel Vision 3</button>!2/32 GB3/64 GB! Rs. 24,999  PKR!$. 85
<button id='ItelA47' type='button' value='Itel A47' onclick='ItelA47()'>Itel A47</button>!2/32 GB! Rs. 25,999  PKR!$. 89
<button id='ItelA23Pro' type='button' value='Itel A23 Pro' onclick='ItelA23Pro()'>Itel A23 Pro</button>!1/8 GB! Rs. 18,499  PKR!$. 63
<button id='ItelVision2Plus' type='button' value='Itel Vision 2 Plus' onclick='ItelVision2Plus()'>Itel Vision 2 Plus</button>!2/32 GB3/64 GB! Rs. 15,999  PKR!$. 54
<button id='ItelA48' type='button' value='Itel A48' onclick='ItelA48()'>Itel A48</button>!2/32 GB! Rs. 13,499  PKR!$. 46
<button id='ItelA26' type='button' value='Itel A26' onclick='ItelA26()'>Itel A26</button>!2/32 GB! Rs. 12,999  PKR!$. 44
<button id='ItelVision2' type='button' value='Itel Vision 2' onclick='ItelVision2()'>Itel Vision 2</button>!3/64 GB! Rs. 17,999  PKR!$. 61
<button id='ItelVision1Pro' type='button' value='Itel Vision 1 Pro' onclick='ItelVision1Pro()'>Itel Vision 1 Pro</button>!3/32 GB! Rs. 16,499  PKR!$. 56
<button id='ItelA60s' type='button' value='Itel A60s' onclick='ItelA60s()'>Itel A60s</button>!4/128 GB! Rs. 24,999  PKR!$. 85
<button id='ItelA49Play' type='button' value='Itel A49 Play' onclick='ItelA49Play()'>Itel A49 Play</button>!2/32 GB! Rs. 16,999  PKR!$. 58
<button id='ItelP40' type='button' value='Itel P40' onclick='ItelP40()'>Itel P40</button>!4/64 GB8/128 GB! Rs. 26,999  PKR!$. 92
<button id='ItelS23' type='button' value='Itel S23' onclick='ItelS23()'>Itel S23</button>!8/128 GB8/256 GB! Rs. 30,999  PKR!$. 106
<button id='ItelP17Pro' type='button' value='Itel P17 Pro' onclick='ItelP17Pro()'>Itel P17 Pro</button>!2/32 GB! Rs. 23,999  PKR!$. 82
<button id='ItelVision3Plus' type='button' value='Itel Vision 3 Plus' onclick='ItelVision3Plus()'>Itel Vision 3 Plus</button>!4/64 GB! Rs. 25,999  PKR!$. 89
<button id='ItelA49' type='button' value='Itel A49' onclick='ItelA49()'>Itel A49</button>!2/32 GB! Rs. 17,999  PKR!$. 61
<button id='ItelA27' type='button' value='Itel A27' onclick='ItelA27()'>Itel A27</button>!2/32 GB! Rs. 20,999  PKR!$. 71
<button id='ItelVision2s' type='button' value='Itel Vision 2s' onclick='ItelVision2s()'>Itel Vision 2s</button>!2/32 GB! Rs. 14,999  PKR!$. 51
<button id='ItelVision3' type='button' value='Itel Vision 3' onclick='ItelVision3()'>Itel Vision 3</button>!2/32 GB3/64 GB! Rs. 24,999  PKR!$. 85
<button id='ItelA47' type='button' value='Itel A47' onclick='ItelA47()'>Itel A47</button>!2/32 GB! Rs. 25,999  PKR!$. 89
<button id='ItelA23Pro' type='button' value='Itel A23 Pro' onclick='ItelA23Pro()'>Itel A23 Pro</button>!1/8 GB! Rs. 18,499  PKR!$. 63
