<button id='OnePlus10Pro' type='button' value='OnePlus10Pro' onclick='OnePlus10Pro()'>OnePlus 10 Pro</button>!12/256 GB! Rs. 209,999  PKR!$. 719
<button id='OnePlusNordCE5G' type='button' value='OnePlusNordCE5G' onclick='OnePlusNordCE5G()'>OnePlus Nord CE 5G</button>!8/128 GB12/256 GB! Rs. 64,999  PKR!$. 222
<button id='OnePlus9' type='button' value='OnePlus9' onclick='OnePlus9()'>OnePlus 9</button>!12/256 GB! Rs. 134,999  PKR!$. 462
<button id='OnePlusNordN2005G' type='button' value='OnePlusNordN2005G' onclick='OnePlusNordN2005G()'>OnePlus Nord N200 5G</button>!4/64 GB! Rs. 39,999  PKR!$. 136
<button id='OnePlusNordN100' type='button' value='OnePlusNordN100' onclick='OnePlusNordN100()'>OnePlus Nord N100</button>!4/64 GB! Rs. 22,499  PKR!$. 77
<button id='OnePlusNordN10' type='button' value='OnePlusNordN10' onclick='OnePlusNordN10()'>OnePlus Nord N10</button>!6/128 GB! Rs. 49,999  PKR!$. 171
<button id='OnePlus8T' type='button' value='OnePlus8T' onclick='OnePlus8T()'>OnePlus 8T</button>!8/128 GB12/256 GB! Rs. 102,999  PKR!$. 352
<button id='OnePlusNord' type='button' value='OnePlusNord' onclick='OnePlusNord()'>OnePlus Nord</button>!8/128 GB12/256 GB! Rs. 78,999  PKR!$. 270
<button id='OnePlus8Pro' type='button' value='OnePlus8Pro' onclick='OnePlus8Pro()'>OnePlus 8 Pro</button>!8/128 GB12/256 GB! Rs. 143,999  PKR!$. 493
<button id='OnePlus8' type='button' value='OnePlus8' onclick='OnePlus8()'>OnePlus 8</button>!12/256 GB! Rs. 105,499  PKR!$. 361
<button id='OnePlus7T' type='button' value='OnePlus7T' onclick='OnePlus7T()'>OnePlus 7T</button>!8/128 GB8/256 GB! Rs. 55,999  PKR!$. 191
<button id='OnePlus7' type='button' value='OnePlus7' onclick='OnePlus7()'>OnePlus 7</button>!6/128 GB8/256 GB! Rs. 49,999  PKR!$. 171
<button id='OnePlus7Pro' type='button' value='OnePlus7Pro' onclick='OnePlus7Pro()'>OnePlus 7 Pro</button>!8/256 GB! Rs. 53,999  PKR!$. 184
<button id='OnePlus6T' type='button' value='OnePlus6T' onclick='OnePlus6T()'>OnePlus 6T</button>!8/128 GB! Rs. 45,999  PKR!$. 157
<button id='OnePlus6' type='button' value='OnePlus6' onclick='OnePlus6()'>OnePlus 6</button>!8/128 GB! Rs. 41,999  PKR!$. 143
<button id='OnePlus5T' type='button' value='OnePlus5T' onclick='OnePlus5T()'>OnePlus 5T</button>!8/128 GB! Rs. 37,999  PKR!$. 130
<button id='OnePlus5' type='button' value='OnePlus5' onclick='OnePlus5()'>OnePlus 5</button>!8/128 GB! Rs. 35,999  PKR!$. 123
<button id='OnePlusAce2Pro' type='button' value='OnePlusAce2Pro' onclick='OnePlusAce2Pro()'>OnePlus Ace 2 Pro</button>!12/256 GB16/512 GB24/1024 GB! Rs. 127,999  PKR!$. 438
<button id='OnePlusNordCE3' type='button' value='OnePlusNordCE3' onclick='OnePlusNordCE3()'>OnePlus Nord CE 3</button>!8/128 GB12/256 GB! Rs. 83,999  PKR!$. 287
