<button id='OppoA77s' type='button' value='Oppo A77s' onclick='OppoA77s()'>Oppo A77s</button>!8/128 GB! Rs. 74,999  PKR!$. 256
<button id='OppoA17' type='button' value='Oppo A17' onclick='OppoA17()'>Oppo A17</button>!4/64 GB! Rs. 49,999  PKR!$. 171
<button id='OppoA17K' type='button' value='Oppo A17K' onclick='OppoA17K()'>Oppo A17K</button>!3/64 GB! Rs. 45,999  PKR!$. 157
<button id='OppoA57' type='button' value='Oppo A57' onclick='OppoA57()'>Oppo A57</button>!3/64 GB4/64 GB! Rs. 49,999  PKR!$. 171
<button id='OppoF21Pro5G' type='button' value='Oppo F21 Pro 5G' onclick='OppoF21Pro5G()'>Oppo F21 Pro 5G</button>!8/128 GB! Rs. 102,499  PKR!$. 351
<button id='OppoF21Pro' type='button' value='Oppo F21 Pro' onclick='OppoF21Pro()'>Oppo F21 Pro</button>!8/128 GB! Rs. 92,199  PKR!$. 315
<button id='OppoA96' type='button' value='Oppo A96' onclick='OppoA96()'>Oppo A96</button>!8/128 GB! Rs. 77,999  PKR!$. 267
<button id='OppoA16e' type='button' value='Oppo A16e' onclick='OppoA16e()'>Oppo A16e</button>!4/64 GB! Rs. 44,299  PKR!$. 151
<button id='OppoA76' type='button' value='Oppo A76' onclick='OppoA76()'>Oppo A76</button>!6/128 GB! Rs. 66,999  PKR!$. 229
<button id='OppoA16K' type='button' value='Oppo A16K' onclick='OppoA16K()'>Oppo A16K</button>!4/64 GB! Rs. 39,999  PKR!$. 136
<button id='OppoA95' type='button' value='Oppo A95' onclick='OppoA95()'>Oppo A95</button>!8/128 GB! Rs. 41,999  PKR!$. 143
<button id='OppoReno6Pro' type='button' value='Oppo Reno 6 Pro' onclick='OppoReno6Pro()'>Oppo Reno 6 Pro</button>!12/256 GB! Rs. 119,999  PKR!$. 410
<button id='OppoReno6' type='button' value='Oppo Reno 6' onclick='OppoReno6()'>Oppo Reno 6</button>!8/128 GB! Rs. 64,999  PKR!$. 222
<button id='OppoA16' type='button' value='Oppo A16' onclick='OppoA16()'>Oppo A16</button>!3/32 GB4/64 GB! Rs. 23,999  PKR!$. 82
