!Mobile!Price!Store
0!<a href='https://www.shophive.com/oppo-a18-4gb-128gb/'> Oppo A18  (4GB 128GB)</a>!33999.0 (PKR) / 122 (USD)!shophive.pk
1!<a href='https://priceoye.pk/mobiles/oppo/oppo-a38'>Oppo A38 (--GB ---GB)</a>!39999.0 (PKR) / 143 (USD)!priceoye.pk
2!<a href='https://www.shophive.com/oppo-a38-6gb-128gb/'> Oppo A38  (6GB 128GB)</a>!42999.0 (PKR) / 154 (USD)!shophive.pk
3!<a href='https://priceoye.pk/mobiles/oppo/oppo-a58'>Oppo A58 (--GB ---GB)</a>!46199.0 (PKR) / 166 (USD)!priceoye.pk
4!<a href='https://www.shophive.com/oppo-a58-8gb-128gb/'> Oppo A58  (8GB 128GB)</a>!47499.0 (PKR) / 170 (USD)!shophive.pk
5!<a href='https://www.mega.pk/mobiles_products/24788/Oppo-A58-8GB-RAM-128GB-Storage-PTA-Approved.html'> Oppo A58  (8GB RAM 128GB Storage)</a>!48499.0 (PKR) / 174 (USD)!mega.pk
6!<a href='https://priceoye.pk/mobiles/oppo/oppo-a60'>Oppo A60 (--GB ---GB)</a>!53999.0 (PKR) / 194 (USD)!priceoye.pk
7!<a href='https://www.shophive.com/oppo-a60-8gb-256gb/'> Oppo A60  (8GB 256GB)</a>!54999.0 (PKR) / 197 (USD)!shophive.pk
8!<a href='https://priceoye.pk/mobiles/oppo/oppo-a78'>Oppo A78 (--GB ---GB)</a>!60999.0 (PKR) / 219 (USD)!priceoye.pk
9!<a href='https://www.shophive.com/oppo-a78-8gb-256gb/'> Oppo A78  (8GB 256GB)</a>!62999.0 (PKR) / 226 (USD)!shophive.pk
10!<a href='https://priceoye.pk/mobiles/oppo/oppo-reno-11f-5g'>Oppo Reno 11F 5G (--GB ---GB)</a>!80999.0 (PKR) / 291 (USD)!priceoye.pk
11!<a href='https://www.mega.pk/mobiles_products/25030/OPPO-Reno-11F-8GB-RAM-256GB-Storage-PTA-Approved.html'> Oppo Reno 11F 5G  (8GB RAM 256GB Storage)</a>!82999.0 (PKR) / 298 (USD)!mega.pk
12!<a href='https://www.shophive.com/oppo-reno-11f-8gb-256gb/'> Oppo Reno 11F 5G  (8GB 256GB)</a>!84999.0 (PKR) / 305 (USD)!shophive.pk
13!<a href='https://priceoye.pk/mobiles/oppo/oppo-reno-11-5g'>Oppo Reno 11 5G (--GB ---GB)</a>!121999.0 (PKR) / 438 (USD)!priceoye.pk
14!<a href='https://www.shophive.com/oppo-reno-11-5g-12gb-256gb/'> Oppo Reno 11 5G  (12GB 256GB)</a>!124999.0 (PKR) / 449 (USD)!shophive.pk
