!Mobile!Price!Store
0!<a href='https://priceoye.pk/mobiles/vivo/vivo-y02t'>Vivo Y02t (--GB ---GB)</a>!22499.0 (PKR) / 80 (USD)!priceoye.pk
1!<a href='https://www.mega.pk/mobiles_products/24601/Vivo-Y02T-4GB-RAM-64GB-Storage-PTA-Approved.html'> Vivo Y02T  (4GB RAM 64GB Storage)</a>!23299.0 (PKR) / 83 (USD)!mega.pk
2!<a href='https://www.shophive.com/vivo-y03-4gb-128gb-1/'> Vivo Y03  (4GB 128GB)</a>!23799.0 (PKR) / 85 (USD)!shophive.pk
3!<a href='https://www.mega.pk/mobiles_products/25041/Vivo-Y03-4GB-RAM-64GB-Storage-PTA-Approved.html'> Vivo Y03  (4GB RAM 64GB Storage)</a>!24699.0 (PKR) / 88 (USD)!mega.pk
4!<a href='https://priceoye.pk/mobiles/vivo/vivo-y03'>Vivo Y03 (--GB ---GB)</a>!27999.0 (PKR) / 100 (USD)!priceoye.pk
5!<a href='https://www.mega.pk/mobiles_products/24946/Vivo-Y02T-4GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y02T  (4GB RAM 128GB Storage)</a>!28999.0 (PKR) / 104 (USD)!mega.pk
6!<a href='https://priceoye.pk/mobiles/vivo/vivo-y16'>Vivo Y16 (--GB ---GB)</a>!30499.0 (PKR) / 109 (USD)!priceoye.pk
7!<a href='https://www.shophive.com/vivo-y17s-4gb-128gb/'> Vivo Y17s  (4GB 128GB)</a>!30999.0 (PKR) / 111 (USD)!shophive.pk
8!<a href='https://priceoye.pk/mobiles/vivo/vivo-y18'>Vivo Y18 (--GB ---GB)</a>!33499.0 (PKR) / 120 (USD)!priceoye.pk
9!<a href='https://www.mega.pk/mobiles_products/24969/Vivo-Y17s-4GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y17s  (4GB RAM 128GB Storage)</a>!33999.0 (PKR) / 122 (USD)!mega.pk
10!<a href='https://priceoye.pk/mobiles/vivo/vivo-y17s'>Vivo Y17s (--GB ---GB)</a>!34999.0 (PKR) / 125 (USD)!priceoye.pk
11!Vivo Y22 (4G 4GB 64GB Blue)!35890.0 (PKR) / 129 (USD)!homeshopping.pk
12!<a href='https://www.shophive.com/vivo-y17s-6gb-128gb/'> Vivo Y17s  (6GB 128GB)</a>!36499.0 (PKR) / 131 (USD)!shophive.pk
13!<a href='https://www.mega.pk/mobiles_products/24397/Vivo-Y16-4GB-RAM-64GB-Storage-PTA--Approved.html'> Vivo Y16  (4GB RAM 64GB Storage)</a>!37999.0 (PKR) / 136 (USD)!mega.pk
14!<a href='https://www.mega.pk/mobiles_products/24985/Vivo-Y17s-6GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y17s  (6GB RAM 128GB Storage)</a>!38499.0 (PKR) / 138 (USD)!mega.pk
15!<a href='https://www.shophive.com/vivo-y27s-8gb-128gb/'> Vivo Y27s  (8GB 128GB)</a>!42999.0 (PKR) / 154 (USD)!shophive.pk
16!<a href='https://priceoye.pk/mobiles/vivo/vivo-y27s'>Vivo Y27s (--GB ---GB)</a>!44999.0 (PKR) / 161 (USD)!priceoye.pk
17!<a href='https://www.mega.pk/mobiles_products/24997/Vivo-Y27s-8GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y27s  (8GB RAM 128GB Storage)</a>!45499.0 (PKR) / 163 (USD)!mega.pk
18!<a href='https://priceoye.pk/mobiles/vivo/vivo-y22'>Vivo Y22 (--GB ---GB)</a>!45999.0 (PKR) / 165 (USD)!priceoye.pk
